329,1,b'Abies'
24386,44991,b'Aneumastus spp.'
338,3,b'Acer saccharum-type'
338,4,b'Acer negundo'
338,5,b'Acer pensylvanicum'
338,6,b'Acer rubrum'
338,7,b'Acer saccharinum-type'
338,8,b'Acer spicatum'
338,9,b'Acer undiff.'
1625,10,b'Adiantum'
3555,11,b'Aesculus'
5221,12,b'Allium'
330,13,b'Alnus incana-type'
24464,14,b'Alnus viridis-type'
330,15,b'Alnus undiff.'
3668,16,b'Ambrosia-type'
39749,17,b'Amorpha-type'
347,18,b'Anacardiaceae undiff.'
30410,19,b'Apocynum'
5481,20,b'Spermatophyta undiff. (aquatics)'
9101,21,b'Aquifoliaceae'
9099,22,b'Araliaceae'
24094,23,b'Arceuthobium'
1298,24,b'Armeria'
22590,25,b'Artemisia'
29342,26,b'Athyrium'
9547,27,b'Azolla'
39703,28,b'Berlandiera-type'
32627,29,b'Betula'
30,30,b'Betula mean pollen-grain diameter'
22954,31,b'Bidens-type'
33447,32,b'Boraginaceae'
1207,33,b'Botrychium'
9506,34,b'Brasenia schreberi'
1847,36,b'Bumelia'
2036,37,b'Bursera'
3123,38,b'Cabomba'
698,39,b'Callitriche'
350,40,b'Caltha'
351,41,b'Campanulaceae undiff.'
9115,42,b'Cannabaceae sensu stricto'
394,43,b'Caprifoliaceae undiff.'
1710,44,b'Carya'
7656,45,b'Caryophyllaceae'
1880,46,b'Chamaecrista'
328,47,b'Castanea'
256,48,b'Ceanothus'
9115,49,b'Celtis'
40271,50,b'Cephalanthus'
28880,51,b'Ceratiola ericoides'
72,52,b'Chamaecyparis'
9124,53,b'Chamaedaphne calyculata'
391,54,b'Amaranthaceae undiff.'
9133,55,b'Cistaceae'
390,56,b'Citrus'
40115,57,b'Cladium'
9148,58,b'Clethra'
33599,59,b'Coccoloba'
1657,60,b'Comandra'
409,61,b'Asteraceae undiff.'
963,62,b'Iva annua-type'
35449,63,b'Pollen concentration'
329,64,b'Pinaceae undiff.'
361,65,b'Cornus undiff.'
32626,67,b'Corylus'
9122,68,b'Crassulaceae'
6867,6261,b'Myocastor coypus'
33809,69,b'Crataegus-type'
420,70,b'Brassicaceae undiff.'
16997,72,b'Cupressaceae'
1327,73,b'Cuscuta'
9108,74,b'Cyperaceae'
40689,75,b'Cyrilla racemiflora'
9508,76,b'Decodon verticillatus'
848,78,b'Diapensiaceae'
2352,79,b'Diospyros-type'
29689,80,b'Dodonaea'
2266,81,b'Drosera'
33819,82,b'Dryas-type'
29329,83,b'Dryopteris-type'
85,84,b'Elaeagnus'
9116,85,b'Elaeagnaceae'
4245,86,b'Empetrum'
366,87,b'Ephedra undiff.'
366,88,b'Ephedra viridis-type'
366,89,b'Ephedra trifurca-type'
445,90,b'Epilobium'
9775,91,b'Equisetum'
848,92,b'Ericaceae'
1778,93,b'Eriocaulon'
33599,94,b'Eriogonum'
35449,95,b'Eucalyptus spike'
35449,96,b'Eucalyptus suspension'
35449,97,b'Eucalyptus tablets'
883,102,b'Eugenia'
1562,103,b'Euonymus'
40101,43658,b'Polydora-type serratuloides'
33598,106,b'Fagopyrum'
328,107,b'Fagus'
676,108,b'Polypodiophyta undiff.'
2339,109,b'Forestiera'
369,110,b'Fraxinus (tetracolpate)'
369,111,b'Fraxinus (tricolpate)'
369,112,b'Fraxinus nigra-type'
369,113,b'Fraxinus pennsylvanica-type'
369,114,b'Fraxinus undiff.'
535,115,b'Fungi undiff.'
40274,116,b'Galium'
9125,117,b'Gaultheria'
9125,118,b'Gaylussacia'
9100,119,b'Gentianaceae'
1178,120,b'Geranium'
33821,121,b'Geum-type'
1880,122,b'Gleditsia'
391,123,b'Gomphrena-type'
1840,124,b'Gordonia'
417,125,b'Poaceae undiff.'
9122,126,b'Haloragaceae'
2095,127,b'Angiospermae undiff. (herbs)'
9509,129,b'Hippuris vulgaris'
9115,130,b'Humulus-type'
1585,131,b'Hydrophyllum'
5676,132,b'Hypericum'
21,135,b'Ilex'
3460,136,b'Impatiens'
7636,138,b'Iridaceae'
33988,139,b'Iso\xc3\xabtes'
2274,140,b'Itea'
